date,aqi,value
1999-01-21,4,0.7
1999-01-27,71,19.9
1999-01-30,65,16.6
1999-02-02,58,13.0
1999-02-05,52,9.9
1999-02-08,41,7.4
1999-02-11,65,16.8
1999-02-14,60,13.7
1999-02-20,58,13.1
1999-02-23,56,11.7
1999-02-26,75,22.2
1999-03-01,55,11.2
1999-03-04,55,11.1
1999-03-07,39,7.1
1999-03-10,62,15.0
1999-03-13,56,11.6
1999-03-16,54,10.6
1999-03-19,63,15.5
1999-03-22,54,10.6
1999-03-25,54,10.8
1999-03-28,76,22.7
1999-03-31,63,15.6
1999-04-03,69,18.8
1999-04-06,52,9.8
1999-04-09,54,10.5
1999-04-12,54,10.6
1999-04-15,28,5.0
1999-04-18,55,11.2
1999-04-21,63,15.7
1999-04-24,8,1.5
1999-04-27,63,15.7
1999-04-30,63,15.6
1999-05-03,42,7.5
1999-05-06,42,7.5
1999-05-09,54,10.5
1999-05-12,80,24.7
1999-05-15,60,14.0
1999-05-21,74,21.7
1999-05-24,42,7.5
1999-05-27,41,7.3
1999-05-30,88,29.1
1999-06-02,65,16.7
1999-06-05,62,15.2
1999-06-08,102,35.8
1999-06-11,107,37.9
1999-06-14,61,14.6
1999-06-17,62,15.0
1999-06-20,71,19.9
1999-06-23,89,29.6
1999-06-26,63,15.5
1999-06-29,55,11.1
1999-07-02,23,4.1
1999-07-05,98,34.2
1999-07-08,62,15.0
1999-07-11,54,10.5
1999-07-14,64,16.1
1999-07-17,98,34.4
1999-07-20,75,22.0
1999-07-23,94,32.0
1999-07-26,79,24.1
1999-07-29,82,25.9
1999-08-01,70,19.5
1999-08-04,76,22.6
1999-08-07,71,20.0
1999-08-10,73,20.8
1999-08-13,60,14.1
1999-08-16,68,18.1
1999-08-19,71,19.9
1999-08-22,59,13.3
1999-08-25,67,17.5
1999-08-28,76,22.3
1999-08-31,53,10.0
1999-09-03,70,19.5
1999-09-06,73,21.0
1999-09-09,54,10.9
1999-09-12,76,22.5
1999-09-15,44,8.0
1999-09-18,58,12.7
1999-09-21,36,6.5
1999-09-24,63,15.7
1999-09-27,61,14.6
1999-09-30,39,7.0
1999-10-03,68,18.0
1999-10-06,66,17.2
1999-10-09,55,11.1
1999-10-12,64,16.0
1999-10-15,67,17.9
1999-10-18,44,8.0
1999-10-27,58,12.9
1999-10-30,90,29.8
1999-11-02,44,7.9
1999-11-05,61,14.3
1999-11-08,66,16.9
1999-11-11,90,30.0
1999-11-14,65,16.8
1999-11-17,79,24.1
1999-11-20,76,22.7
1999-11-23,76,22.3
1999-11-26,57,12.3
1999-11-29,56,11.6
1999-12-02,52,9.9
1999-12-05,50,9.0
1999-12-08,62,15.1
1999-12-11,55,11.1
1999-12-14,52,9.6
1999-12-17,43,7.8
1999-12-20,61,14.6
1999-12-23,59,13.4
1999-12-26,51,9.3
1999-12-29,66,17.0
2000-01-01,71,20.1
2000-01-04,44,8.0
2000-01-07,57,12.3
2000-01-10,48,8.6
2000-01-13,57,12.1
2000-01-16,56,11.9
2000-01-19,73,21.0
2000-01-22,64,16.1
2000-01-25,90,30.2
2000-01-28,58,13.1
2000-01-31,71,19.7
2000-02-03,71,19.7
2000-02-06,75,21.8
2000-02-09,84,26.7
2000-02-12,65,16.7
2000-02-15,73,20.8
2000-02-18,58,12.7
2000-02-21,66,17.0
2000-02-24,61,14.6
2000-02-27,37,6.6
2000-03-01,57,12.3
2000-03-04,58,12.6
2000-03-07,67,17.9
2000-03-10,62,14.8
2000-03-13,46,8.2
2000-03-16,64,15.9
2000-03-19,57,12.2
2000-03-22,62,14.9
2000-03-25,63,15.3
2000-03-28,38,6.8
2000-03-31,52,9.7
2000-04-03,38,6.9
2000-04-06,56,11.8
2000-04-09,39,7.0
2000-04-12,58,13.0
2000-04-16,64,16.1
2000-04-21,34,6.2
2000-04-24,57,12.3
2000-04-27,60,14.1
2000-04-30,70,19.3
2000-05-03,61,14.6
2000-05-06,72,20.6
2000-05-09,72,20.2
2000-05-12,74,21.7
2000-05-15,53,10.0
2000-05-18,74,21.3
2000-05-21,81,25.4
2000-05-24,66,17.4
2000-05-27,50,9.0
2000-05-30,63,15.3
2000-06-02,89,29.5
2000-06-08,67,17.9
2000-06-14,70,19.1
2000-06-17,52,9.5
2000-06-20,68,18.2
2000-06-26,67,17.9
2000-06-29,61,14.4
2000-07-05,70,19.5
2000-07-08,70,19.4
2000-07-11,67,17.5
2000-07-14,80,24.8
2000-07-17,64,15.9
2000-07-20,67,17.7
2000-07-23,61,14.7
2000-07-26,70,19.2
2000-07-29,65,16.5
2000-08-01,71,20.1
2000-08-04,77,23.0
2000-08-07,68,18.3
2000-08-10,54,10.8
2000-08-13,60,13.7
2000-08-19,69,18.8
2000-08-22,89,29.5
2000-08-25,82,25.8
2000-08-28,80,24.9
2000-08-31,54,10.8
2000-09-03,108,38.5
2000-09-06,55,11.0
2000-09-09,60,13.9
2000-09-12,60,14.0
2000-09-15,37,6.6
2000-09-21,43,7.7
2000-09-24,56,12.0
2000-09-27,63,15.6
2000-09-30,80,24.8
2000-10-03,68,18.4
2000-10-06,51,9.1
2000-10-09,38,6.9
2000-10-12,68,18.1
2000-10-15,76,22.7
2000-10-18,69,18.5
2000-10-21,104,36.8
2000-10-24,93,31.9
2000-10-27,109,38.6
2000-10-30,49,8.9
2000-11-02,157,64.3
2000-11-05,39,7.1
2000-11-08,70,19.5
2000-11-11,42,7.6
2000-11-14,53,10.4
2000-11-20,39,7.1
2000-11-23,63,15.8
2000-11-26,54,10.9
2000-11-29,54,10.5
2000-12-02,49,8.9
2000-12-05,56,11.8
2000-12-08,66,17.0
2000-12-11,76,22.7
2000-12-14,56,11.6
2000-12-20,57,12.4
2000-12-26,60,14.0
2000-12-30,66,16.9
2000-12-31,65,16.4
2001-01-04,79,24.1
2001-01-05,68,18.0
2001-01-10,73,20.7
2001-01-13,72,20.6
2001-01-16,71,19.6
2001-01-19,67,17.5
2001-01-22,89,29.3
2001-01-25,54,10.6
2001-01-28,83,26.1
2001-01-31,53,10.2
2001-02-03,62,15.2
2001-02-06,64,16.2
2001-02-09,62,15.1
2001-02-12,60,14.0
2001-02-15,37,6.7
2001-02-18,57,12.4
2001-02-21,59,13.2
2001-02-24,60,13.7
2001-02-27,66,17.3
2001-03-02,65,16.8
2001-03-05,55,11.0
2001-03-08,61,14.5
2001-03-11,61,14.5
2001-03-14,37,6.6
2001-03-17,54,10.8
2001-03-20,38,6.8
2001-03-23,73,21.1
2001-03-26,58,13.1
2001-03-29,77,23.3
2001-04-01,57,12.4
2001-04-04,71,20.0
2001-04-07,61,14.7
2001-04-10,66,17.2
2001-04-13,37,6.6
2001-04-16,39,7.1
2001-04-19,53,10.4
2001-04-22,67,17.9
2001-04-25,52,9.6
2001-04-28,39,7.1
2001-05-01,76,22.5
2001-05-04,96,33.5
2001-05-07,86,27.7
2001-05-10,71,19.8
2001-05-13,57,12.2
2001-05-16,72,20.3
2001-05-19,60,14.0
2001-05-22,51,9.2
2001-05-25,36,6.4
2001-05-28,55,11.5
2001-05-31,61,14.2
2001-06-03,44,8.0
2001-06-06,54,10.5
2001-06-09,65,16.6
2001-06-12,98,34.3
2001-06-15,62,14.9
2001-06-18,57,12.4
2001-06-21,80,24.9
2001-06-24,66,17.1
2001-06-27,77,22.8
2001-06-30,64,16.2
2001-07-03,66,17.3
2001-07-06,54,10.9
2001-07-09,58,13.0
2001-07-12,57,12.1
2001-07-15,54,10.6
2001-07-18,86,28.1
2001-07-21,81,25.4
2001-07-24,110,39.1
2001-07-27,68,18.3
2001-07-30,74,21.2
2001-08-02,133,48.6
2001-08-05,88,29.2
2001-08-08,77,23.2
2001-08-11,67,17.6
2001-08-14,79,24.3
2001-08-17,61,14.7
2001-08-20,53,10.4
2001-08-23,74,21.4
2001-08-26,79,24.0
2001-08-29,82,25.6
2001-09-04,70,19.5
2001-09-07,86,27.8
2001-09-10,49,8.9
2001-09-13,80,24.6
2001-09-16,54,10.9
2001-09-19,69,18.7
2001-09-22,59,13.5
2001-09-25,21,3.7
2001-09-28,42,7.5
2001-10-01,56,12.0
2001-10-04,73,20.8
2001-10-07,41,7.4
2001-10-10,51,9.2
2001-10-13,41,7.4
2001-10-16,26,4.7
2001-10-19,60,14.1
2001-10-22,71,19.8
2001-10-25,22,3.9
2001-10-28,53,10.2
2001-10-31,75,22.2
2001-11-03,54,10.5
2001-11-06,54,10.9
2001-11-09,46,8.2
2001-11-12,43,7.8
2001-11-15,102,35.8
2001-11-18,97,33.6
2001-11-20,55,11.5
2001-11-24,47,8.5
2001-11-27,55,11.5
2001-11-30,22,4.0
2001-12-03,54,10.6
2001-12-06,62,14.8
2001-12-09,66,17.4
2001-12-12,56,11.7
2001-12-15,55,11.1
2001-12-18,48,8.6
2001-12-20,33,5.9
2001-12-24,24,4.4
2001-12-27,53,10.3
2001-12-30,50,9.0
2002-01-02,74,21.2
2002-01-08,58,13.1
2002-01-11,58,12.9
2002-01-14,45,8.1
2002-01-17,56,11.7
2002-01-20,61,14.6
2002-01-23,28,5.0
2002-01-26,59,13.6
2002-02-01,26,4.7
2002-02-07,62,14.9
2002-02-10,50,9.0
2002-02-13,51,9.1
2002-02-16,53,10.2
2002-02-19,57,12.1
2002-02-22,47,8.5
2002-02-25,66,17.0
2002-02-28,55,11.0
2002-03-03,43,7.8
2002-03-06,55,11.1
2002-03-09,53,10.2
2002-03-15,62,14.8
2002-03-21,63,15.5
2002-03-24,52,9.5
2002-03-27,61,14.5
2002-03-30,53,10.2
2002-04-02,51,9.2
2002-04-05,69,18.8
2002-04-08,68,18.0
2002-04-11,63,15.6
2002-04-14,37,6.6
2002-04-17,59,13.2
2002-04-20,53,10.3
2002-04-23,55,11.0
2002-04-26,44,7.9
2002-04-29,56,12.0
2002-05-02,63,15.7
2002-05-05,58,13.0
2002-05-08,59,13.6
2002-05-11,58,13.0
2002-05-14,56,12.0
2002-05-20,48,8.7
2002-05-23,67,17.7
2002-05-26,71,19.9
2002-05-29,69,18.8
2002-06-01,79,23.9
2002-06-04,74,21.6
2002-06-07,69,19.0
2002-06-10,80,24.9
2002-06-13,53,10.0
2002-06-16,52,9.6
2002-06-19,88,29.0
2002-06-22,88,28.7
