date,aqi,value
2011-01-01,12,2.1
2011-01-02,6,1.1
2011-01-03,19,3.5
2011-01-04,31,5.5
2011-01-05,9,1.6
2011-01-06,11,1.9
2011-01-07,25,4.5
2011-01-08,51,9.1
2011-01-09,13,2.3
2011-01-10,28,5.1
2011-01-11,33,6.0
2011-01-12,34,6.2
2011-01-13,26,4.7
2011-01-14,3,0.5
2011-01-15,11,1.9
2011-01-16,15,2.7
2011-01-17,7,1.2
2011-01-18,4,0.8
2011-01-19,29,5.3
2011-01-20,22,3.9
2011-01-21,11,1.9
2011-01-22,12,2.1
2011-01-23,17,3.0
2011-01-24,12,2.1
2011-01-25,12,2.2
2011-01-26,16,2.9
2011-01-27,7,1.3
2011-01-28,11,2.0
2011-01-29,19,3.4
2011-01-30,33,6.0
2011-01-31,23,4.1
2011-02-01,22,4.0
2011-02-02,25,4.5
2011-02-03,15,2.7
2011-02-04,17,3.0
2011-02-05,9,1.6
2011-02-06,16,2.8
2011-02-07,20,3.6
2011-02-08,23,4.2
2011-02-09,17,3.0
2011-02-10,14,2.5
2011-02-11,18,3.2
2011-02-12,26,4.6
2011-02-13,28,5.1
2011-02-14,30,5.4
2011-02-15,19,3.5
2011-02-16,14,2.5
2011-02-17,53,10.2
2011-02-18,24,4.4
2011-02-19,29,5.2
2011-02-20,29,5.3
2011-02-21,24,4.4
2011-02-22,23,4.2
2011-02-23,11,1.9
2011-02-24,44,7.9
2011-02-25,57,12.5
2011-02-26,31,5.5
2011-02-27,18,3.2
2011-02-28,22,3.9
2011-03-01,12,2.2
2011-03-02,,4.8125
2011-03-03,12,2.1
2011-03-04,22,4.0
2011-03-05,19,3.5
2011-03-06,24,4.3
2011-03-07,27,4.8
2011-03-08,54,10.6
2011-03-09,22,3.9
2011-03-10,26,4.6
2011-03-11,71,19.6
2011-03-12,28,5.0
2011-03-13,32,5.7
2011-03-14,26,4.6
2011-03-15,29,5.2
2011-03-16,22,4.0
2011-03-17,69,19.0
2011-03-18,55,11.2
2011-03-19,44,8.0
2011-03-20,51,9.1
2011-03-21,54,10.6
2011-03-22,67,17.5
2011-03-23,12,2.2
2011-03-24,22,4.0
2011-03-25,25,4.5
2011-03-26,14,2.5
2011-03-27,39,7.0
2011-03-28,25,4.5
2011-03-29,19,3.5
2011-03-30,17,3.0
2011-03-31,67,17.8
2011-04-01,19,3.5
2011-04-02,16,2.9
2011-04-03,7,1.2
2011-04-04,14,2.6
2011-04-05,13,2.3
2011-04-06,26,4.7
2011-04-07,55,11.1
2011-04-08,58,13.1
2011-04-09,47,8.5
2011-04-10,10,1.8
2011-04-11,38,6.8
2011-04-12,29,5.3
2011-04-13,31,5.6
2011-04-14,33,5.9
2011-04-15,57,12.1
2011-04-16,44,8.0
2011-04-17,42,7.6
2011-04-18,14,2.5
2011-04-19,27,4.8
2011-04-20,30,5.4
2011-04-21,24,4.4
2011-04-22,54,10.7
2011-04-23,33,6.0
2011-04-24,26,4.7
2011-04-25,23,4.1
2011-04-26,11,1.9
2011-04-27,19,3.5
2011-04-28,27,4.8
2011-04-29,52,9.5
2011-04-30,13,2.4
2011-05-01,16,2.8
2011-05-02,18,3.2
2011-05-03,24,4.3
2011-05-04,17,3.0
2011-05-05,25,4.5
2011-05-06,24,4.4
2011-05-07,31,5.6
2011-05-08,41,7.3
2011-05-09,48,8.6
2011-05-10,36,6.4
2011-05-11,3,0.5
2011-05-12,8,1.5
2011-05-13,24,4.3
2011-05-14,23,4.1
2011-05-15,19,3.5
2011-05-16,22,3.9
