date,aqi,value
1999-01-03,40,7.2
1999-01-06,61,14.2
1999-01-09,44,8.0
1999-01-12,69,19.0
1999-01-15,74,21.5
1999-01-18,40,7.2
1999-01-21,148,54.4
1999-01-30,63,15.8
1999-02-02,52,9.7
1999-02-05,65,16.5
1999-02-07,69,18.8
1999-02-11,67,17.7
1999-02-14,52,9.5
1999-02-20,29,5.2
1999-02-26,107,38.0
1999-03-01,37,6.6
1999-03-04,33,5.9
1999-03-07,32,5.8
1999-03-10,22,4.0
1999-03-13,29,5.2
1999-03-16,65,16.7
1999-03-19,30,5.4
1999-03-22,29,5.2
1999-03-25,27,4.9
1999-03-28,77,23.3
1999-04-15,59,13.5
1999-04-18,24,4.3
1999-04-21,66,17.0
1999-04-24,24,4.3
1999-04-30,24,4.3
1999-05-03,60,14.0
1999-05-06,67,17.5
1999-05-09,25,4.5
1999-05-12,48,8.6
1999-05-27,37,6.7
1999-05-30,84,26.6
1999-05-31,92,31.0
1999-06-05,83,26.5
1999-06-08,40,7.2
1999-06-11,119,42.8
1999-06-14,50,9.0
1999-06-17,33,6.0
1999-06-20,78,23.4
1999-07-02,64,15.9
1999-07-05,74,21.5
1999-07-08,54,10.8
1999-07-11,38,6.8
1999-07-14,88,29.0
1999-07-17,85,27.5
1999-07-20,52,9.4
1999-07-23,66,17.3
1999-07-26,57,12.5
1999-07-29,55,11.3
1999-08-01,37,6.6
1999-08-10,61,14.7
1999-08-13,59,13.5
1999-08-16,63,15.6
1999-08-19,39,7.0
1999-08-22,63,15.3
1999-09-03,113,40.5
1999-09-06,62,15.2
1999-09-09,50,9.0
1999-09-12,62,15.2
1999-09-18,56,11.9
1999-09-21,23,4.2
1999-09-24,33,5.9
1999-09-27,81,25.1
1999-09-30,24,4.4
1999-10-03,24,4.4
1999-10-09,87,28.4
1999-10-12,58,12.7
1999-10-15,55,11.5
1999-10-21,53,10.2
1999-10-24,21,3.8
1999-10-27,51,9.1
1999-10-30,100,35.4
1999-11-02,33,6.0
1999-11-05,59,13.2
1999-11-11,52,9.7
1999-11-14,43,7.8
1999-11-17,32,5.8
1999-11-20,63,15.7
1999-11-23,106,37.7
1999-11-26,72,20.3
1999-11-29,27,4.8
1999-12-02,65,16.8
1999-12-05,57,12.5
1999-12-08,82,25.7
1999-12-11,49,8.8
1999-12-14,53,10.0
1999-12-17,41,7.4
1999-12-20,62,15.2
1999-12-23,52,9.8
1999-12-29,19,3.5
2000-01-01,81,25.0
2000-01-04,19,3.5
2000-01-22,78,23.5
2000-01-25,90,30.0
2000-01-28,56,11.6
2000-01-31,86,28.0
2000-02-03,103,36.3
2000-02-06,70,19.1
2000-02-09,114,40.7
2000-02-12,59,13.2
2000-02-18,70,19.2
2000-02-21,89,29.4
2000-02-24,89,29.3
2000-02-27,33,6.0
2000-03-01,49,8.9
2000-03-04,63,15.7
2000-03-07,66,17.0
2000-03-10,24,4.3
2000-03-13,68,18.0
2000-03-16,32,5.7
2000-03-19,60,14.1
2000-03-22,85,27.6
2000-03-25,58,13.0
2000-03-31,36,6.5
2000-04-03,121,43.7
2000-04-06,43,7.8
2000-04-09,46,8.3
2000-04-12,55,11.5
2000-04-15,64,16.1
2000-04-18,82,25.9
2000-04-24,30,5.4
2000-04-27,59,13.6
2000-05-03,58,13.1
2000-05-06,78,23.7
2000-05-09,55,11.5
2000-05-12,82,25.8
2000-05-15,38,6.8
2000-05-18,62,15.0
2000-05-21,71,19.8
2000-05-24,47,8.5
2000-05-27,40,7.2
2000-05-30,69,18.8
2000-06-02,49,8.9
2000-06-05,34,6.1
2000-06-08,64,16.0
2000-06-11,57,12.3
2000-06-14,72,20.6
2000-06-17,39,7.0
2000-06-20,78,23.4
2000-06-23,53,10.4
2000-06-26,63,15.5
2000-06-29,55,11.5
2000-07-02,86,28.0
2000-07-05,78,23.5
2000-07-08,51,9.3
2000-07-11,37,6.7
2000-07-14,57,12.1
2000-07-17,55,11.4
2000-07-20,48,8.6
2000-07-23,33,5.9
2000-07-29,75,22.1
2000-08-01,69,18.7
2000-08-13,59,13.4
2000-09-06,31,5.6
2000-09-15,14,2.5
2000-09-18,62,15.1
2000-09-21,23,4.1
2000-09-24,15,2.7
2000-09-27,39,7.0
2000-09-30,66,17.1
2000-10-03,55,11.4
2000-10-15,102,35.8
2000-10-18,61,14.7
2000-10-21,54,10.8
2000-10-24,106,37.7
2000-10-27,84,26.8
2000-10-30,44,8.0
2000-11-05,63,15.5
2000-11-08,72,20.6
2000-11-11,14,2.6
2000-11-28,73,21.0
2000-12-02,19,3.4
2000-12-05,39,7.0
2000-12-08,65,16.8
2000-12-11,58,12.9
2000-12-14,67,17.7
2000-12-17,47,8.4
2000-12-23,79,24.0
2000-12-26,66,17.1
2000-12-29,60,13.9
2001-01-01,26,4.7
2001-01-04,60,14.1
2001-01-07,86,27.9
2001-01-10,70,19.5
2001-01-16,51,9.2
2001-01-19,70,19.5
2001-01-22,86,27.7
2001-01-25,32,5.7
2001-01-28,75,22.1
2001-01-31,55,11.4
2001-02-03,65,16.8
2001-02-06,76,22.6
2001-02-09,74,21.7
2001-02-12,61,14.2
2001-02-15,65,16.5
2001-02-18,70,19.3
2001-02-21,27,4.8
2001-02-27,47,8.5
2001-03-02,67,17.8
2001-03-05,33,5.9
2001-03-08,62,14.9
2001-03-11,53,10.2
2001-03-14,53,10.2
2001-03-17,28,5.1
2001-03-20,59,13.2
2001-03-23,55,11.0
2001-03-26,28,5.1
2001-03-29,87,28.5
2001-04-01,67,17.9
2001-04-04,64,15.9
2001-04-07,85,27.2
2001-04-13,51,9.2
2001-04-16,61,14.6
2001-04-22,73,20.7
2001-04-25,55,11.0
2001-05-01,81,25.2
2001-05-10,77,23.3
2001-05-13,43,7.8
2001-05-16,89,29.6
2001-05-19,54,10.7
2001-05-22,38,6.9
2001-05-25,56,11.8
2001-05-28,55,11.4
2001-05-31,50,9.0
2001-06-03,50,9.0
2001-06-06,60,13.8
2001-06-09,58,13.1
2001-06-12,55,11.2
2001-06-15,101,35.7
2001-06-18,58,13.1
2001-06-21,59,13.2
2001-06-24,55,11.4
2001-06-27,111,39.4
