date,aqi,daily_max
2011-01-01,43,0.046
2011-01-02,46,0.05
2011-01-03,45,0.049
2011-01-04,45,0.049
2011-01-05,45,0.049
2011-01-06,42,0.045
2011-01-07,40,0.043
2011-01-08,34,0.037
2011-01-09,32,0.035
2011-01-10,33,0.036
2011-01-11,39,0.042
2011-01-12,42,0.045
2011-01-13,44,0.048
2011-01-14,43,0.046
2011-01-15,41,0.044
2011-01-16,38,0.041
2011-01-17,39,0.042
2011-01-18,41,0.044
2011-01-19,35,0.038
2011-01-20,44,0.047
2011-01-21,44,0.047
2011-01-22,41,0.044
2011-01-23,44,0.047
2011-01-24,37,0.04
2011-01-25,44,0.047
2011-01-26,37,0.04
2011-01-27,40,0.043
2011-01-28,36,0.039
2011-01-29,44,0.047
2011-01-30,22,0.024
2011-01-31,31,0.034
2011-02-01,38,0.041
2011-02-02,42,0.045
2011-02-03,44,0.048
2011-02-04,43,0.046
2011-02-05,41,0.044
2011-02-06,39,0.042
2011-02-07,38,0.041
2011-02-08,40,0.043
2011-02-09,41,0.044
2011-02-10,41,0.044
2011-02-11,44,0.047
2011-02-12,44,0.048
2011-02-13,44,0.048
2011-02-14,42,0.045
2011-02-15,46,0.05
2011-02-16,50,0.054
2011-02-17,47,0.051
2011-02-18,44,0.048
2011-02-19,46,0.05
2011-02-20,43,0.046
2011-02-21,46,0.05
2011-02-22,48,0.052
2011-02-23,46,0.05
2011-02-24,36,0.039
2011-02-25,33,0.036
2011-02-26,46,0.05
2011-02-27,48,0.052
2011-02-28,49,0.053
2011-03-01,51,0.055
2011-03-02,46,0.05
2011-03-03,46,0.05
2011-03-04,44,0.048
2011-03-05,47,0.051
2011-03-06,41,0.044
2011-03-07,39,0.042
2011-03-08,47,0.051
2011-03-09,47,0.051
2011-03-10,48,0.052
2011-03-11,48,0.052
2011-03-12,49,0.053
2011-03-13,51,0.055
2011-03-14,50,0.054
2011-03-15,44,0.048
2011-03-16,44,0.048
2011-03-17,54,0.056
2011-03-18,54,0.056
2011-03-19,58,0.057
2011-03-20,54,0.056
2011-03-21,50,0.054
2011-03-22,51,0.055
2011-03-23,51,0.055
2011-03-24,54,0.056
2011-03-25,58,0.057
2011-03-26,49,0.053
2011-03-27,32,0.035
2011-03-28,43,0.046
2011-03-29,43,0.046
2011-03-30,33,0.036
2011-03-31,38,0.041
2011-04-01,40,0.043
2011-04-02,44,0.047
2011-04-03,44,0.047
2011-04-04,47,0.051
2011-04-05,44,0.047
2011-04-06,48,0.052
2011-04-07,58,0.057
2011-04-08,61,0.058
2011-04-09,47,0.051
2011-04-10,44,0.048
2011-04-11,61,0.058
2011-04-12,50,0.054
2011-04-13,44,0.047
2011-04-14,41,0.044
2011-04-15,61,0.058
2011-04-16,44,0.048
2011-04-17,42,0.045
2011-04-18,27,0.029
2011-04-19,58,0.057
2011-04-20,40,0.043
2011-04-21,54,0.056
2011-04-22,67,0.06
2011-04-23,45,0.049
2011-04-24,42,0.045
2011-04-25,54,0.056
2011-04-26,48,0.052
2011-04-27,49,0.053
2011-04-28,77,0.063
2011-04-29,54,0.056
2011-04-30,44,0.047
2011-05-01,45,0.049
2011-05-02,47,0.051
2011-05-03,50,0.054
2011-05-04,64,0.059
2011-05-05,64,0.059
2011-05-06,49,0.053
2011-05-07,64,0.059
2011-05-08,90,0.067
2011-05-09,54,0.056
2011-05-10,90,0.067
2011-05-11,32,0.035
2011-05-12,33,0.036
2011-05-13,61,0.058
2011-05-14,41,0.044
2011-05-15,35,0.038
2011-05-16,41,0.044
2011-05-17,38,0.041
2011-05-18,41,0.044
2011-05-19,40,0.043
2011-05-20,44,0.047
2011-05-21,45,0.049
2011-05-22,47,0.051
2011-05-23,42,0.045
2011-05-24,64,0.059
2011-05-25,39,0.042
2011-05-26,44,0.048
2011-05-27,51,0.055
2011-05-28,49,0.053
2011-05-29,34,0.037
2011-05-30,71,0.061
2011-05-31,80,0.064
2011-06-01,74,0.062
2011-06-02,49,0.053
2011-06-03,67,0.06
2011-06-04,54,0.056
2011-06-05,46,0.05
2011-06-06,58,0.057
2011-06-07,71,0.061
2011-06-08,44,0.047
2011-06-09,44,0.048
2011-06-10,80,0.064
2011-06-11,61,0.058
2011-06-12,61,0.058
2011-06-13,67,0.06
2011-06-14,74,0.062
2011-06-15,100,0.07
2011-06-16,58,0.057
2011-06-17,45,0.049
2011-06-18,54,0.056
2011-06-19,46,0.05
2011-06-20,41,0.044
2011-06-21,43,0.046
2011-06-22,77,0.063
2011-06-23,47,0.051
2011-06-24,71,0.061
2011-06-25,67,0.06
2011-06-26,49,0.053
2011-06-27,54,0.056
2011-06-28,71,0.061
2011-06-29,51,0.055
2011-06-30,48,0.052
2011-07-01,44,0.048
2011-07-02,71,0.061
2011-07-03,47,0.051
2011-07-04,50,0.054
2011-07-05,48,0.052
2011-07-06,64,0.059
2011-07-07,50,0.054
2011-07-08,47,0.051
2011-07-09,44,0.047
2011-07-10,45,0.049
2011-07-11,51,0.055
2011-07-12,48,0.052
2011-07-13,61,0.058
2011-07-14,45,0.049
2011-07-15,47,0.051
2011-07-16,77,0.063
2011-07-17,80,0.064
2011-07-18,67,0.06
2011-07-19,58,0.057
2011-07-20,44,0.048
2011-07-21,54,0.056
2011-07-22,64,0.059
2011-07-23,49,0.053
2011-07-24,74,0.062
2011-07-25,80,0.064
2011-07-26,44,0.047
2011-07-27,46,0.05
2011-07-28,54,0.056
2011-07-29,74,0.062
2011-07-30,74,0.062
2011-07-31,93,0.068
2011-08-01,51,0.055
2011-08-02,47,0.051
2011-08-03,58,0.057
2011-08-04,64,0.059
2011-08-05,58,0.057
2011-08-06,51,0.055
2011-08-07,49,0.053
2011-08-08,51,0.055
2011-08-09,67,0.06
2011-08-10,54,0.056
2011-08-11,64,0.059
2011-08-12,45,0.049
2011-08-16,39,0.042
2011-08-17,48,0.052
2011-08-18,49,0.053
2011-08-19,40,0.043
2011-08-20,51,0.055
2011-08-21,80,0.064
2011-08-22,74,0.062
2011-08-23,67,0.06
2011-08-24,71,0.061
2011-08-25,64,0.059
2011-08-26,46,0.05
2011-08-27,74,0.062
2011-08-28,64,0.059
2011-08-29,58,0.057
2011-08-30,51,0.055
2011-08-31,80,0.064
2011-09-01,67,0.06
2011-09-02,51,0.055
2011-09-03,39,0.042
2011-09-04,40,0.043
2011-09-05,51,0.055
2011-09-06,43,0.046
2011-09-07,49,0.053
2011-09-08,58,0.057
2011-09-09,50,0.054
2011-09-10,51,0.055
2011-09-11,49,0.053
2011-09-12,47,0.051
2011-09-13,49,0.053
2011-09-14,21,0.023
2011-09-15,22,0.024
2011-09-16,48,0.052
2011-09-17,43,0.046
2011-09-18,44,0.047
2011-09-19,39,0.042
2011-09-20,42,0.045
2011-09-21,41,0.044
2011-09-22,47,0.051
2011-09-23,41,0.044
2011-09-24,39,0.042
2011-09-25,37,0.04
2011-09-26,43,0.046
2011-09-27,44,0.047
2011-09-28,43,0.046
2011-09-29,44,0.048
2011-09-30,44,0.048
2011-10-01,48,0.052
2011-10-02,48,0.052
2011-10-03,58,0.057
2011-10-04,51,0.055
2011-10-05,38,0.041
2011-10-06,44,0.048
2011-10-07,44,0.048
2011-10-08,27,0.029
2011-10-09,31,0.034
2011-10-10,40,0.043
2011-10-11,33,0.036
2011-10-12,42,0.045
2011-10-13,39,0.042
2011-10-14,40,0.043
2011-10-15,33,0.036
2011-10-16,36,0.039
2011-10-17,33,0.036
2011-10-18,39,0.042
2011-10-19,40,0.043
2011-10-20,44,0.047
2011-10-21,40,0.043
2011-10-22,37,0.04
2011-10-23,39,0.042
2011-10-24,42,0.045
2011-10-25,33,0.036
2011-10-26,35,0.038
2011-10-27,41,0.044
2011-10-28,46,0.05
2011-10-29,46,0.05
2011-10-30,39,0.042
2011-10-31,39,0.042
2011-11-01,36,0.039
2011-11-02,36,0.039
2011-11-03,44,0.047
2011-11-04,37,0.04
2011-11-05,36,0.039
2011-11-06,38,0.041
2011-11-07,30,0.032
2011-11-08,37,0.04
2011-11-09,37,0.04
2011-11-10,40,0.043
2011-11-11,42,0.045
2011-11-12,43,0.046
2011-11-13,38,0.041
2011-11-14,42,0.045
2011-11-15,41,0.044
2011-11-16,37,0.04
2011-11-17,38,0.041
2011-11-18,38,0.041
2011-11-19,39,0.042
2011-11-20,29,0.031
2011-11-21,34,0.037
2011-11-22,41,0.044
2011-11-23,41,0.044
2011-11-24,42,0.045
2011-11-25,40,0.043
2011-11-26,39,0.042
2011-11-27,40,0.043
2011-11-28,38,0.041
2011-11-29,36,0.039
2011-11-30,40,0.043
2011-12-01,30,0.032
2011-12-02,36,0.039
2011-12-03,35,0.038
2011-12-04,34,0.037
2011-12-05,31,0.034
2011-12-06,40,0.043
2011-12-07,39,0.042
2011-12-08,32,0.035
2011-12-09,35,0.038
2011-12-10,33,0.036
2011-12-11,37,0.04
2011-12-12,32,0.035
2011-12-13,30,0.032
2011-12-14,38,0.041
2011-12-15,37,0.04
2011-12-16,36,0.039
2011-12-17,37,0.04
2011-12-18,38,0.041
2011-12-19,28,0.03
2011-12-20,34,0.037
2011-12-21,34,0.037
2011-12-22,34,0.037
2011-12-23,38,0.041
2011-12-24,37,0.04
2011-12-25,35,0.038
2011-12-26,40,0.043
2011-12-27,40,0.043
2011-12-28,36,0.039
2011-12-29,34,0.037
2011-12-30,34,0.037
2011-12-31,35,0.038
2012-01-01,31,0.034
2012-01-02,32,0.035
2012-01-03,34,0.037
2012-01-04,38,0.041
2012-01-05,39,0.042
2012-01-06,32,0.035
2012-01-07,27,0.029
2012-01-08,35,0.038
2012-01-09,32,0.035
2012-01-10,38,0.041
2012-01-11,36,0.039
2012-01-12,37,0.04
2012-01-13,39,0.042
2012-01-14,39,0.042
2012-01-15,32,0.035
2012-01-16,31,0.034
2012-01-17,36,0.039
2012-01-18,38,0.041
2012-01-19,33,0.036
2012-01-20,35,0.038
2012-01-21,33,0.036
2012-01-22,36,0.039
2012-01-23,37,0.04
2012-01-24,34,0.037
2012-01-25,37,0.04
2012-01-26,36,0.039
2012-01-27,36,0.039
2012-01-28,35,0.038
2012-01-30,36,0.039
2012-01-31,38,0.041
2012-02-01,40,0.043
2012-02-02,36,0.039
2012-02-03,30,0.032
2012-02-04,40,0.043
2012-02-05,40,0.043
2012-02-06,44,0.047
2012-02-07,28,0.03
2012-02-08,45,0.049
2012-02-09,40,0.043
2012-02-10,35,0.038
2012-02-11,31,0.034
2012-02-12,42,0.045
2012-02-13,43,0.046
2012-02-14,43,0.046
2012-02-15,36,0.039
