date,aqi,value
1999-07-14,53,10.1
1999-07-17,136,49.8
1999-07-20,36,6.4
1999-08-25,78,23.4
1999-08-28,3,0.5
1999-09-18,29,5.3
1999-10-03,54,10.5
1999-10-06,28,5.0
1999-10-09,52,9.8
1999-10-12,28,5.0
1999-10-15,35,6.3
1999-10-18,22,4.0
1999-10-24,13,2.4
1999-10-30,5,0.9
1999-11-05,52,9.4
1999-11-08,20,3.6
1999-11-11,24,4.4
1999-11-14,56,11.7
1999-11-17,13,2.3
1999-11-20,60,14.1
1999-11-29,25,4.5
1999-12-02,57,12.3
1999-12-05,65,16.8
1999-12-08,42,7.5
1999-12-11,11,2.0
1999-12-14,52,9.8
1999-12-17,41,7.4
1999-12-20,56,11.6
2000-01-10,65,16.7
2000-01-13,28,5.0
2000-01-22,31,5.5
2000-01-25,62,14.8
2000-02-09,72,20.2
2000-02-12,38,6.8
2000-02-15,50,9.0
2000-02-18,65,16.8
2000-02-21,58,12.7
2000-02-27,59,13.6
2000-03-04,19,3.4
2000-03-07,47,8.5
2000-03-10,23,4.2
2000-03-13,29,5.2
2000-03-16,46,8.2
2000-03-19,52,9.8
2000-03-22,34,6.2
2000-03-25,59,13.2
2000-03-28,38,6.8
2000-04-03,80,24.6
2000-04-06,47,8.5
2000-04-09,10,1.8
2000-04-12,33,5.9
2000-04-15,38,6.9
2000-04-18,41,7.3
2000-04-21,28,5.0
2000-04-24,18,3.3
2000-04-27,35,6.3
2000-04-30,16,2.9
2000-05-03,41,7.3
2000-05-09,76,22.6
2000-05-12,35,6.3
2000-05-18,72,20.2
2000-05-21,52,9.5
2000-05-24,39,7.0
2000-05-30,25,4.5
2000-06-02,58,12.8
2000-06-05,34,6.2
2000-06-08,61,14.7
2000-06-11,80,24.6
2000-06-14,39,7.1
2000-06-17,71,19.8
2000-06-20,50,9.0
2000-06-23,32,5.7
2000-06-26,79,24.3
2000-06-29,52,9.9
2000-07-02,66,17.2
2000-07-05,36,6.4
2000-07-08,42,7.5
2000-07-14,72,20.2
2000-07-17,75,21.8
2000-07-20,28,5.1
2000-07-23,33,5.9
2000-07-26,35,6.3
2000-07-29,62,14.8
2000-08-01,28,5.0
2000-08-04,24,4.3
2000-08-07,68,18.4
2000-08-10,43,7.8
2000-08-13,37,6.6
2000-08-16,36,6.5
2000-08-19,29,5.2
2000-08-22,21,3.8
2000-08-31,69,18.5
2000-09-06,48,8.7
2000-09-09,82,25.5
2000-09-15,39,7.0
2000-09-18,63,15.4
2000-09-21,56,11.7
2000-09-24,32,5.7
2000-09-27,54,10.8
2000-09-30,41,7.4
2000-10-03,64,16.3
2000-10-06,28,5.0
2000-10-09,19,3.4
2000-10-12,53,10.2
2000-10-15,62,15.0
2000-10-18,46,8.2
2000-10-21,68,18.4
2000-10-24,58,12.6
2000-10-27,80,24.8
