date,aqi,value
2012-01-01,89,29.7
2012-01-02,68,18.2
2012-01-03,57,12.5
2012-01-04,76,22.3
2012-01-05,69,18.8
2012-01-06,70,19.2
2012-01-07,56,11.9
2012-01-08,61,14.4
2012-01-09,75,22.1
2012-01-10,75,21.9
2012-01-11,69,18.5
2012-01-12,68,18.2
2012-01-13,78,23.6
2012-01-14,77,23.3
2012-01-15,47,8.5
2012-01-16,55,11.3
2012-01-17,67,17.9
2012-01-18,15,2.7
2012-01-19,69,18.9
2012-01-20,20,3.6
2012-01-21,20,3.6
2012-01-22,59,13.5
2012-01-23,46,8.3
2012-01-24,73,20.9
2012-01-25,68,18.1
2012-01-26,52,9.6
2012-01-27,33,5.9
2012-01-28,71,19.9
2012-01-29,83,26.5
2012-01-30,46,8.3
2012-01-31,61,14.2
2012-02-01,27,4.9
2012-02-02,35,6.3
2012-02-03,42,7.5
2012-02-04,70,19.1
2012-02-05,74,21.5
2012-02-06,68,18.0
2012-02-07,59,13.2
2012-02-08,62,15.2
2012-02-09,62,15.0
2012-02-10,54,10.9
2012-02-11,43,7.8
2012-02-12,21,3.7
2012-02-13,18,3.3
2012-02-14,15,2.7
2012-02-15,33,6.0
2012-02-16,54,10.5
2012-02-17,66,17.4
2012-02-18,42,7.5
2012-02-19,34,6.2
2012-02-20,27,4.9
2012-02-21,59,13.6
2012-02-22,56,11.7
2012-02-23,29,5.3
2012-02-24,48,8.6
2012-02-25,18,3.2
2012-02-26,35,6.3
2012-02-27,47,8.4
2012-02-28,51,9.2
2012-02-29,16,2.8
2012-03-01,12,2.2
2012-03-02,53,10.3
2012-03-03,62,15.1
2012-03-04,64,15.9
2012-03-05,49,8.8
2012-03-06,14,2.5
2012-03-07,42,7.5
2012-03-08,59,13.3
2012-03-09,62,15.1
2012-03-10,58,13.1
2012-03-11,23,4.2
2012-03-12,43,7.7
2012-03-13,14,2.5
2012-03-14,10,1.8
2012-03-15,13,2.3
2012-03-16,6,1.0
2012-03-17,12,2.1
2012-03-18,16,2.9
2012-03-19,22,4.0
2012-03-20,24,4.3
2012-03-21,24,4.3
2012-03-22,19,3.5
2012-03-23,26,4.7
2012-03-24,33,6.0
2012-03-25,20,3.6
2012-03-26,18,3.2
2012-03-27,22,3.9
2012-03-28,12,2.1
2012-03-29,33,5.9
2012-03-30,21,3.8
2012-03-31,32,5.7
2012-04-01,12,2.1
2012-04-02,19,3.5
2012-04-03,41,7.4
2012-04-04,8,1.5
2012-04-05,17,3.0
2012-04-06,35,6.3
2012-04-07,59,13.3
2012-04-08,66,17.2
2012-04-09,55,11.2
2012-04-10,49,8.9
2012-04-11,24,4.4
2012-04-12,13,2.4
2012-04-13,32,5.7
2012-04-14,24,4.3
2012-04-15,37,6.7
2012-04-16,31,5.6
2012-04-17,24,4.3
2012-04-18,22,4.0
2012-04-19,14,2.5
2012-04-20,23,4.2
2012-04-21,33,6.0
2012-04-22,36,6.4
2012-04-23,42,7.6
2012-04-24,42,7.6
2012-04-25,19,3.5
2012-04-26,18,3.2
2012-04-27,28,5.1
2012-04-28,20,3.6
2012-04-29,34,6.2
2012-04-30,29,5.2
2012-05-01,26,4.6
2012-05-02,39,7.1
2012-05-03,17,3.0
2012-05-04,38,6.9
2012-05-05,36,6.5
2012-05-06,47,8.5
2012-05-07,37,6.7
2012-05-08,32,5.7
2012-05-09,42,7.6
2012-05-10,49,8.9
2012-05-11,35,6.3
2012-05-12,47,8.4
2012-05-13,39,7.0
2012-05-14,52,9.7
2012-05-15,53,10.0
2012-05-16,46,8.2
2012-05-17,40,7.2
2012-05-18,42,7.5
2012-05-19,48,8.7
2012-05-20,31,5.5
2012-05-21,34,6.1
2012-05-22,31,5.6
2012-05-23,22,4.0
2012-05-24,26,4.7
2012-05-25,14,2.6
2012-05-26,16,2.9
2012-05-27,26,4.7
2012-05-28,36,6.5
2012-05-29,33,6.0
2012-05-30,40,7.2
2012-05-31,34,6.2
2012-06-01,53,10.2
2012-06-02,43,7.7
2012-06-03,22,3.9
2012-06-04,15,2.7
2012-06-05,8,1.5
2012-06-06,13,2.3
2012-06-07,19,3.5
2012-06-08,22,4.0
2012-06-09,14,2.6
2012-06-10,22,3.9
2012-06-11,22,3.9
2012-06-12,35,6.3
2012-06-13,32,5.8
2012-06-14,33,5.9
2012-06-15,25,4.5
2012-06-16,31,5.5
2012-06-17,42,7.5
2012-06-18,33,6.0
2012-06-19,23,4.2
2012-06-20,21,3.8
2012-06-21,39,7.0
2012-06-22,19,3.4
2012-06-23,22,4.0
2012-06-24,22,3.9
2012-06-25,20,3.6
2012-06-26,14,2.5
2012-06-27,28,5.0
2012-06-28,31,5.6
2012-06-29,28,5.0
2012-06-30,30,5.4
2012-07-01,29,5.2
2012-07-02,39,7.0
2012-07-03,38,6.9
2012-07-04,47,8.5
2012-07-05,47,8.5
2012-07-06,44,8.0
2012-07-07,34,6.1
2012-07-08,37,6.6
2012-07-09,36,6.4
2012-07-10,33,5.9
2012-07-11,28,5.0
2012-07-12,52,9.9
2012-07-13,61,14.3
2012-07-14,54,10.5
2012-07-15,55,11.5
2012-07-16,52,9.5
2012-07-17,45,8.1
2012-07-18,43,7.7
2012-07-19,26,4.7
2012-07-20,27,4.8
2012-07-21,38,6.9
2012-07-22,49,8.9
2012-07-23,53,10.4
2012-07-24,55,11.3
2012-07-25,43,7.8
2012-07-26,41,7.3
2012-07-27,46,8.2
2012-07-28,57,12.5
2012-07-29,49,8.9
2012-07-30,39,7.1
2012-07-31,41,7.3
2012-08-01,41,7.4
2012-08-02,43,7.8
2012-08-03,63,15.5
2012-08-04,60,13.7
2012-08-05,32,5.8
2012-08-06,38,6.8
2012-08-07,32,5.7
2012-08-08,51,9.3
2012-08-09,48,8.7
2012-08-10,48,8.6
2012-08-11,47,8.5
2012-08-12,55,11.4
2012-08-13,57,12.4
2012-08-14,74,21.2
2012-08-15,62,15.2
2012-08-16,55,11.1
2012-08-17,66,17.0
2012-08-18,55,11.5
2012-08-19,36,6.5
2012-08-20,46,8.2
2012-08-21,38,6.8
2012-08-22,66,17.4
2012-08-23,75,22.2
2012-08-24,49,8.9
2012-08-25,44,8.0
2012-08-26,36,6.5
2012-08-27,33,6.0
2012-08-28,24,4.4
2012-08-29,27,4.8
2012-08-30,37,6.6
2012-08-31,42,7.6
2012-09-01,27,4.9
2012-09-02,51,9.3
2012-09-03,54,10.5
2012-09-04,50,9.0
2012-09-05,43,7.7
2012-09-06,44,8.0
2012-09-07,52,9.5
2012-09-08,33,6.0
2012-09-09,25,4.5
2012-09-10,19,3.4
2012-09-11,33,6.0
2012-09-12,46,8.2
2012-09-13,41,7.3
2012-09-14,39,7.1
2012-09-15,41,7.4
2012-09-16,43,7.7
2012-09-17,39,7.1
2012-09-18,45,8.1
2012-09-19,43,7.7
2012-09-20,47,8.5
2012-09-21,44,8.0
2012-09-22,36,6.5
2012-09-23,34,6.2
2012-09-24,26,4.6
2012-09-25,43,7.8
2012-09-26,54,10.5
2012-09-27,49,8.8
2012-09-28,48,8.7
2012-09-29,46,8.3
2012-09-30,52,9.8
2012-10-01,49,8.8
2012-10-02,43,7.7
2012-10-03,39,7.0
2012-10-04,39,7.1
2012-10-05,35,6.3
2012-10-06,46,8.3
2012-10-07,57,12.3
2012-10-08,44,7.9
2012-10-09,32,5.7
2012-10-10,37,6.6
2012-10-11,33,6.0
2012-10-12,29,5.2
2012-10-13,44,8.0
2012-10-14,33,6.0
2012-10-15,41,7.3
2012-10-16,23,4.1
2012-10-17,34,6.2
2012-10-18,41,7.4
2012-10-19,44,8.0
2012-10-20,16,2.9
2012-10-21,29,5.2
2012-10-22,18,3.3
2012-10-23,28,5.0
2012-10-24,29,5.3
2012-10-25,26,4.6
2012-10-26,61,14.3
2012-10-27,63,15.5
2012-10-28,56,11.6
2012-10-29,55,11.1
2012-10-30,62,15.2
2012-10-31,59,13.5
2012-11-01,33,5.9
2012-11-02,62,15.2
2012-11-03,59,13.2
2012-11-04,56,12.0
2012-11-05,52,9.8
2012-11-06,58,13.1
2012-11-07,54,10.5
2012-11-08,27,4.8
2012-11-09,32,5.7
2012-11-10,63,15.7
2012-11-11,78,23.4
2012-11-12,73,20.7
2012-11-13,72,20.6
2012-11-14,76,22.3
2012-11-15,66,17.3
2012-11-16,67,17.9
2012-11-17,53,10.3
2012-11-18,26,4.6
2012-11-19,55,11.2
2012-11-20,52,9.5
2012-11-21,27,4.8
2012-11-22,66,16.9
2012-11-23,82,25.5
2012-11-24,83,26.2
2012-11-25,86,28.0
2012-11-26,82,25.5
2012-11-27,96,33.4
2012-11-28,76,22.7
2012-11-29,22,3.9
2012-11-30,23,4.2
2012-12-01,8,1.5
2012-12-02,40,7.2
2012-12-03,65,16.6
2012-12-04,41,7.3
2012-12-05,61,14.3
2012-12-06,62,15.1
2012-12-07,69,19.0
2012-12-08,72,20.5
2012-12-09,70,19.2
2012-12-10,91,30.7
2012-12-11,68,18.4
2012-12-12,21,3.8
2012-12-13,66,17.0
2012-12-14,72,20.6
2012-12-15,58,13.1
2012-12-16,47,8.5
2012-12-17,21,3.8
2012-12-18,37,6.7
2012-12-19,59,13.3
2012-12-20,58,13.0
2012-12-21,18,3.3
2012-12-22,26,4.7
2012-12-23,17,3.0
2012-12-24,46,8.2
2012-12-25,61,14.2
2012-12-26,34,6.2
2012-12-27,53,10.4
2012-12-28,62,15.1
2012-12-29,54,10.6
2012-12-30,61,14.7
2012-12-31,,12.5
2013-01-14,,15.333333
2013-01-15,73,20.7
2013-01-16,66,17.4
2013-01-17,67,17.7
2013-01-18,74,21.4
2013-01-19,71,19.9
2013-01-20,73,20.8
2013-01-21,73,20.8
2013-01-22,79,24.3
2013-01-23,62,15.0
2013-01-24,47,8.5
2013-01-25,71,19.7
2013-01-26,55,11.1
2013-01-27,33,6.0
2013-01-28,58,13.0
2013-01-29,44,8.0
2013-01-30,64,16.1
2013-01-31,65,16.7
2013-02-01,70,19.5
2013-02-02,72,20.3
2013-02-03,74,21.2
2013-02-04,63,15.6
2013-02-05,53,10.4
2013-02-06,56,12.0
2013-02-07,38,6.8
2013-02-08,34,6.2
2013-02-09,50,9.0
2013-02-10,69,18.5
2013-02-11,60,13.9
2013-02-12,65,16.4
2013-02-13,65,16.7
2013-02-14,63,15.6
2013-02-15,54,10.8
2013-02-16,71,19.8
2013-02-17,63,15.6
2013-02-18,60,14.0
2013-02-19,25,4.5
2013-02-20,31,5.5
2013-02-21,33,6.0
2013-02-22,38,6.8
2013-02-23,30,5.4
2013-02-24,52,9.5
2013-02-25,52,9.7
2013-02-26,36,6.4
2013-02-27,54,10.7
2013-02-28,58,12.7
2013-03-01,55,11.2
2013-03-02,52,9.9
2013-03-03,41,7.4
2013-03-04,48,8.6
2013-03-05,50,9.0
2013-03-06,27,4.8
2013-03-07,35,6.3
2013-03-08,51,9.3
2013-03-09,38,6.8
2013-03-10,53,10.1
2013-03-11,52,9.4
2013-03-12,53,10.1
2013-03-13,54,10.6
2013-03-14,52,9.9
2013-03-15,54,10.8
2013-03-16,34,6.2
2013-03-17,18,3.3
2013-03-18,30,5.4
2013-03-19,18,3.3
2013-03-20,15,2.7
2013-03-21,24,4.3
2013-03-22,33,5.9
2013-03-23,34,6.1
2013-03-24,36,6.4
2013-03-25,36,6.4
2013-03-26,24,4.3
2013-03-27,31,5.6
2013-03-28,26,4.7
2013-03-29,44,7.9
2013-03-30,34,6.2
2013-03-31,19,3.5
2013-04-01,21,3.8
2013-04-02,29,5.2
2013-04-03,36,6.4
2013-04-04,30,5.4
2013-04-05,19,3.5
2013-04-06,21,3.7
2013-04-07,33,6.0
2013-04-08,17,3.1
2013-04-09,27,4.8
2013-04-10,31,5.6
2013-04-11,24,4.4
2013-04-12,34,6.1
2013-04-13,21,3.8
2013-04-14,16,2.9
2013-04-15,21,3.7
2013-04-16,19,3.4
2013-04-17,28,5.1
2013-04-18,42,7.5
2013-04-19,37,6.7
2013-04-20,43,7.8
2013-04-21,41,7.4
2013-04-22,22,4.0
2013-04-23,21,3.7
2013-04-24,47,8.4
2013-04-25,39,7.0
2013-04-26,54,10.5
2013-04-27,55,11.2
2013-04-28,52,9.6
2013-04-29,29,5.3
2013-04-30,30,5.4
2013-05-01,40,7.2
2013-05-02,32,5.8
2013-05-03,52,9.4
2013-05-04,52,9.6
2013-05-05,49,8.8
2013-05-06,44,7.9
2013-05-07,34,6.1
2013-05-08,28,5.1
2013-05-09,33,6.0
2013-05-10,38,6.9
2013-05-11,47,8.4
2013-05-12,43,7.8
2013-05-13,34,6.2
2013-05-14,43,7.8
2013-05-15,38,6.8
2013-05-16,30,5.4
2013-05-17,27,4.8
2013-05-18,29,5.3
2013-05-19,14,2.6
2013-05-20,19,3.5
2013-05-21,31,5.6
2013-05-22,24,4.4
2013-05-23,29,5.3
2013-05-24,36,6.4
2013-05-25,33,6.0
2013-05-26,25,4.5
2013-05-27,22,3.9
2013-05-28,21,3.7
2013-05-29,24,4.4
2013-05-30,32,5.7
2013-05-31,38,6.9
2013-06-01,37,6.6
2013-06-02,46,8.3
2013-06-03,33,5.9
2013-06-04,33,6.0
2013-06-05,36,6.4
2013-06-06,45,8.1
2013-06-07,49,8.8
2013-06-08,40,7.2
2013-06-09,43,7.7
2013-06-10,53,10.2
2013-06-11,45,8.1
2013-06-12,42,7.6
2013-06-13,30,5.4
2013-06-14,21,3.7
2013-06-15,26,4.7
2013-06-16,30,5.4
2013-06-17,32,5.8
2013-06-18,22,4.0
2013-06-19,15,2.7
2013-06-20,25,4.5
2013-06-21,26,4.7
2013-06-22,29,5.2
2013-06-23,31,5.5
2013-06-24,15,2.7
2013-06-25,33,5.9
2013-06-26,27,4.8
2013-06-27,37,6.6
2013-06-28,45,8.1
2013-06-29,38,6.9
2013-06-30,46,8.2
2013-07-01,56,11.7
2013-07-02,65,16.8
2013-07-03,53,10.3
2013-07-04,49,8.8
2013-07-05,35,6.3
2013-07-06,28,5.0
2013-07-07,26,4.7
2013-07-08,53,10.1
2013-07-09,51,9.2
2013-07-10,32,5.7
2013-07-11,19,3.4
2013-07-12,18,3.3
2013-07-13,18,3.3
2013-07-14,19,3.5
2013-07-15,28,5.1
2013-07-16,24,4.4
2013-07-17,23,4.2
2013-07-18,30,5.4
2013-07-19,42,7.5
2013-07-20,49,8.8
2013-07-21,54,10.7
2013-07-22,54,10.5
2013-07-23,38,6.8
2013-07-24,53,10.4
2013-07-25,53,10.3
2013-07-26,52,9.7
2013-07-27,39,7.1
2013-07-28,38,6.8
2013-07-29,33,6.0
2013-07-30,52,9.7
2013-07-31,56,11.6
2013-08-01,25,4.5
2013-08-02,22,3.9
2013-08-03,39,7.0
2013-08-04,41,7.3
2013-08-05,34,6.1
2013-08-06,38,6.8
2013-08-07,36,6.5
2013-08-08,55,11.3
2013-08-09,39,7.1
2013-08-10,52,9.5
2013-08-11,64,16.0
2013-08-12,77,22.8
2013-08-13,79,24.0
2013-08-14,84,26.6
2013-08-15,82,25.6
2013-08-16,82,25.9
2013-08-17,96,33.1
2013-08-18,90,29.9
2013-08-19,87,28.6
2013-08-20,66,16.9
2013-08-21,55,11.2
2013-08-22,109,38.8
2013-08-23,168,79.2
2013-08-24,153,57.7
2013-08-25,91,30.5
2013-08-26,97,34.0
2013-08-27,161,69.6
2013-08-28,155,61.7
2013-08-29,103,36.5
2013-08-30,98,34.5
2013-08-31,75,22.1
2013-09-01,83,26.3
2013-09-02,90,29.8
2013-09-03,63,15.7
2013-09-04,88,29.0
2013-09-05,55,11.1
2013-09-06,36,6.5
2013-09-07,58,12.6
2013-09-08,53,10.4
2013-09-09,25,4.5
2013-09-10,22,3.9
2013-09-11,26,4.7
2013-09-12,42,7.6
2013-09-13,40,7.2
2013-09-14,52,9.4
2013-09-15,51,9.2
2013-09-16,31,5.5
2013-09-17,33,5.9
2013-09-18,14,2.5
2013-09-19,25,4.5
2013-09-20,38,6.8
2013-09-21,14,2.6
2013-09-22,5,0.9
2013-09-23,19,3.5
2013-09-24,15,2.7
2013-09-25,6,1.0
2013-09-26,14,2.5
2013-09-27,33,5.9
2013-09-28,37,6.6
2013-09-29,13,2.3
2013-09-30,14,2.5
2013-10-01,18,3.2
2013-10-02,27,4.8
2013-10-03,13,2.3
2013-10-04,27,4.9
2013-10-05,39,7.0
2013-10-06,31,5.5
2013-10-07,33,6.0
2013-10-08,24,4.3
2013-10-09,37,6.6
2013-10-10,44,7.9
2013-10-11,52,9.7
