date,aqi,value
1999-01-03,52,9.5
1999-01-09,55,11.0
1999-01-12,55,11.3
1999-01-15,57,12.1
1999-01-27,70,19.5
1999-01-30,77,23.3
1999-02-02,48,8.7
1999-02-05,67,17.5
1999-02-08,57,12.2
1999-02-11,63,15.6
1999-02-14,54,10.6
1999-02-17,59,13.5
1999-02-20,53,10.1
1999-02-23,57,12.3
1999-02-26,82,26.0
1999-03-01,39,7.0
1999-03-04,45,8.1
1999-03-07,34,6.2
1999-03-10,67,17.5
1999-03-13,58,13.1
1999-03-16,59,13.2
1999-03-22,56,11.7
1999-03-25,54,10.8
1999-03-28,59,13.3
1999-03-31,69,18.7
1999-04-03,71,20.1
1999-04-06,56,12.0
1999-04-09,59,13.5
1999-04-12,48,8.6
1999-04-15,53,10.1
1999-04-18,52,9.7
1999-04-21,63,15.5
1999-04-24,33,5.9
1999-04-27,57,12.4
1999-04-30,14,2.6
1999-05-03,52,9.4
1999-05-06,75,21.8
1999-05-09,55,11.4
1999-05-12,79,24.2
1999-05-15,52,9.7
1999-05-18,68,18.0
1999-05-21,68,18.0
1999-05-24,60,13.8
1999-05-27,56,11.8
1999-05-30,99,35.1
1999-06-02,74,21.4
1999-06-05,89,29.3
1999-06-08,108,38.5
1999-06-11,116,41.6
1999-06-14,83,26.4
1999-06-17,66,17.2
1999-06-20,59,13.3
1999-06-23,24,4.4
1999-06-26,70,19.5
1999-06-29,59,13.5
1999-07-02,80,24.7
1999-07-05,101,35.6
1999-07-08,68,18.4
1999-07-11,55,11.1
1999-07-14,53,10.4
1999-07-17,91,30.4
1999-07-23,94,32.1
1999-07-26,90,30.0
1999-07-29,75,21.9
1999-08-01,77,22.9
1999-08-07,72,20.5
1999-08-10,49,8.9
1999-08-13,83,26.4
1999-08-16,73,20.7
1999-08-19,59,13.5
1999-08-22,77,22.8
1999-08-25,58,12.8
1999-08-28,77,23.1
1999-08-31,29,5.3
1999-09-03,34,6.2
1999-09-06,68,18.2
1999-09-09,74,21.4
1999-09-12,46,8.3
1999-09-15,61,14.3
1999-09-18,58,13.1
1999-09-21,48,8.6
1999-09-24,61,14.2
1999-09-27,52,9.8
1999-09-30,27,4.9
1999-10-03,77,23.2
1999-10-06,56,11.7
1999-10-09,60,14.0
1999-10-12,48,8.7
1999-10-15,54,10.7
1999-10-18,46,8.3
1999-10-21,60,14.1
1999-10-24,28,5.0
1999-10-27,62,15.1
1999-10-30,78,23.6
1999-11-02,32,5.7
1999-11-05,48,8.6
1999-11-08,56,12.0
1999-11-11,60,13.9
1999-11-14,87,28.6
1999-11-17,47,8.4
1999-11-20,80,24.4
1999-11-23,23,4.1
1999-11-26,27,4.8
1999-12-02,55,11.4
1999-12-05,46,8.3
1999-12-08,65,16.7
1999-12-11,52,9.4
1999-12-14,9,1.7
1999-12-17,50,9.0
1999-12-20,47,8.5
1999-12-23,50,9.0
1999-12-26,51,9.2
1999-12-29,56,11.7
2000-01-01,69,18.8
2000-01-04,39,7.1
2000-01-07,53,10.2
2000-01-10,39,7.1
2000-01-13,52,9.6
2000-01-16,44,8.0
2000-01-19,65,16.4
2000-01-22,55,11.0
2000-01-28,69,19.0
2000-01-31,66,17.1
2000-02-03,57,12.5
2000-02-06,63,15.3
2000-02-09,70,19.4
2000-02-12,52,9.6
2000-02-15,60,13.8
2000-02-18,36,6.5
2000-02-21,56,11.9
2000-02-24,59,13.2
2000-02-27,55,11.2
2000-03-01,54,10.5
2000-03-04,53,10.0
2000-03-07,62,14.8
2000-03-10,55,11.5
2000-03-13,56,12.0
2000-03-16,60,14.1
2000-03-19,47,8.4
2000-03-22,58,12.6
2000-03-25,60,13.7
2000-03-28,43,7.8
2000-03-31,53,10.2
2000-04-03,39,7.1
2000-04-06,52,9.5
2000-04-09,33,6.0
2000-04-12,59,13.6
2000-04-15,28,5.1
2000-04-18,11,2.0
2000-04-21,36,6.5
2000-04-24,52,9.8
2000-04-30,54,10.5
2000-05-03,58,12.7
2000-05-06,83,26.5
2000-05-09,72,20.6
2000-05-12,78,23.7
2000-05-15,46,8.2
2000-05-18,74,21.2
2000-05-21,78,23.4
2000-05-24,61,14.7
2000-05-27,64,15.9
2000-05-30,49,8.9
2000-06-02,112,39.8
2000-06-05,79,24.1
2000-06-08,62,15.1
2000-06-11,103,36.5
2000-06-14,90,30.2
2000-06-17,55,11.3
2000-06-20,54,10.6
2000-06-23,64,16.2
2000-06-26,71,20.1
2000-06-29,67,17.6
2000-07-02,85,27.6
2000-07-05,68,18.0
2000-07-08,59,13.3
2000-07-11,83,26.3
2000-07-14,92,31.0
2000-07-17,72,20.4
2000-07-20,64,16.2
2000-07-23,60,13.8
2000-07-26,79,24.3
2000-07-29,73,20.8
2000-08-01,64,16.2
2000-08-04,71,19.6
2000-08-07,71,20.0
2000-08-10,72,20.5
2000-08-13,60,14.0
2000-08-16,72,20.2
2000-08-19,62,15.2
2000-08-22,88,28.7
2000-08-25,85,27.5
2000-08-28,63,15.4
2000-09-06,36,6.4
2000-09-09,69,18.5
2000-09-12,75,22.2
2000-09-15,46,8.2
2000-09-18,55,11.5
2000-09-21,43,7.7
2000-09-24,51,9.3
2000-09-27,54,10.7
2000-09-30,67,17.8
2000-10-03,81,25.2
2000-10-06,58,12.8
2000-10-09,37,6.6
2000-10-15,74,21.6
2000-10-18,85,27.5
2000-10-21,78,23.4
2000-10-24,85,27.6
2000-10-27,95,32.5
2000-10-30,47,8.5
2000-11-02,58,12.8
2000-11-05,51,9.3
2000-11-11,34,6.2
2000-11-14,40,7.2
2000-11-17,56,12.0
2000-11-20,38,6.9
2000-11-23,43,7.8
2000-11-26,22,3.9
2000-11-29,70,19.1
2000-12-02,39,7.0
2000-12-05,53,10.2
2000-12-08,56,11.6
2000-12-11,69,18.7
2000-12-14,39,7.0
2000-12-17,42,7.5
2000-12-23,58,12.9
2000-12-26,65,16.5
2001-01-01,56,11.9
2001-01-04,62,15.0
2001-01-07,48,8.7
2001-01-10,54,10.9
2001-01-13,91,30.6
2001-01-16,59,13.5
2001-01-19,65,16.8
2001-01-22,70,19.2
2001-01-25,64,16.2
2001-01-28,62,15.0
2001-01-31,47,8.4
2001-02-03,57,12.3
2001-02-06,57,12.2
2001-02-09,57,12.5
2001-02-12,48,8.7
2001-02-15,51,9.1
2001-02-18,49,8.9
2001-02-21,58,13.0
2001-02-24,73,21.0
2001-02-27,67,17.6
2001-03-02,59,13.2
2001-03-05,28,5.1
2001-03-08,15,2.7
2001-03-12,67,17.7
2001-03-17,52,9.4
2001-03-20,36,6.5
2001-03-23,65,16.4
2001-03-26,51,9.1
2001-03-29,57,12.5
2001-04-01,70,19.2
2001-04-04,59,13.3
2001-04-07,65,16.4
2001-04-10,58,12.9
2001-04-13,36,6.4
2001-04-16,53,10.4
2001-04-19,57,12.1
2001-04-22,69,18.5
2001-04-25,52,9.6
2001-04-28,41,7.4
2001-05-01,82,26.0
2001-05-04,121,43.5
2001-05-07,52,9.9
2001-05-10,79,23.9
2001-05-13,52,9.7
2001-05-16,61,14.5
2001-05-19,78,23.6
2001-05-22,43,7.7
2001-05-25,44,7.9
2001-05-28,56,12.0
2001-05-31,42,7.5
2001-06-03,43,7.8
2001-06-06,74,21.4
2001-06-09,96,33.2
2001-06-12,66,17.4
2001-06-15,82,25.7
2001-06-18,69,19.0
2001-06-21,83,26.5
2001-06-24,62,14.8
2001-06-27,77,23.1
2001-06-30,71,19.7
2001-07-03,62,14.8
2001-07-06,55,11.0
2001-07-09,67,17.7
2001-07-12,59,13.2
2001-07-15,61,14.4
2001-07-18,87,28.2
2001-07-21,68,18.2
2001-07-24,92,31.0
2001-07-27,37,6.7
2001-07-30,52,9.6
2001-08-02,99,34.6
2001-08-05,105,37.2
2001-08-08,134,49.0
2001-08-11,74,21.7
2001-08-14,67,17.9
2001-08-17,77,23.1
